AN,Code,RN,acc,accuracy,an_found,an_height,an_line,an_text,an_width,an_x1,an_x2,an_y1,an_y2,average_response_time,avg_rt,background,box_width,canvas_backend,central_fixation,clean_word,clock_backend,color_backend,correct,correct_instruction,correct_question_sketchpad,count_ending_sketchpad,count_experiment,count_eyetracker_calibration,count_instruction,count_instruction_pygaze_log,count_list_filter,count_liste_auswahl,count_logger,count_pygaze_start_recording,count_pygaze_stop_recording,count_question_pygaze_log,count_question_sketchpad,count_sentence_script,count_trial_loop,count_trial_sequence,count_var_init_inline_script,cross_size,cross_x,cross_y,current_line,current_line_width,d,datetime,description,disable_garbage_collection,display_sentence,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,item,key,keyboard_backend,last_line_y,line_height_factor,line_spacing,list,live_row,live_row_trial_loop,logfile,margin,mouse_backend,name,opensesame_codename,opensesame_version,position_x,position_y,psychopy_screen,repeat_cycle,response,response_ending_sketchpad,response_instruction,response_key,response_question_sketchpad,response_time,response_time_ending_sketchpad,response_time_instruction,response_time_question_sketchpad,rn_found,rn_height,rn_line,rn_text,rn_width,rn_x1,rn_x2,rn_y1,rn_y2,round_decimals,sampler_backend,selected_list,sentence,sentence_text,skip_trial,sound_buf_size,sound_channels,sound_freq,sound_sample_size,spill_height,spill_line,spill_width,spill_x1,spill_x2,spill_y1,spill_y2,start,subject_nr,subject_parity,t0,text_start_x,text_start_y,time_ending_sketchpad,time_experiment,time_eyetracker_calibration,time_instruction,time_instruction_pygaze_log,time_list_filter,time_liste_auswahl,time_logger,time_pygaze_start_recording,time_pygaze_stop_recording,time_question_pygaze_log,time_question_sketchpad,time_sentence_script,time_trial_loop,time_trial_sequence,time_var_init_inline_script,timestamp,title,total_correct,total_response_time,total_responses,trial_counter,width,word,word_height,word_spacing,word_width
<AN>Männer</AN>,C3,<RN>Unternehmerinnen</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-84.0,51.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,umstritten,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,50.0,-810.0,-270.5,5.0,1152.0,64.97860647936365,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,4,space,psycho,178.0,3.0,117.0,6,1,1,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,610.0,178.0,2,0,space,,space,space,space,18603.577400004724,,13862.892300006934,18603.577400004724,True,53.0,3.0,<RN>Unternehmerinnen</RN>,364.0,-810.0,-446.0,-56.0,-3.0,2,psycho,6,"Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.",0,1024,2,48000,-16,53.0,4.0,135.0,51.0,186.0,61.0,114.0,experiment,6,even,78279.5516000042,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,78255.78910000331,77941.47069999599,129284.97100000097,63435.570200002985,,129235.05810000644,110630.9304000024,78255.83209999604,77941.50369999988,78255.53599999694,64022.20289999968,110626.51499999627,Experiment,0,0,0,1,1920,umstritten.,53.0,25.0,243.0
<AN>Frauen</AN>,C2,<RN>Dozenten</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-339.0,-207.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,an,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,9,0,9,0,0,9,9,9,0,9,0,50.0,-810.0,-270.5,5.0,795.0,70.40846694993436,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Auf einer schulischen Tagung werden aktuelle Kontroversen rund um Vorlesungsführung und Leistungsbewertung diskutiert. Die <RN>Dozenten</RN> fordern erhöhte Leistungsorientierung und strengere Notenvergabe im Lehrplan, doch diese <AN>Frauen</AN> stoßen dabei auf Gegendruck von Eltern. Die Debatte über das Thema hält weiter an.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,9,space,psycho,178.0,3.0,117.0,6,9,9,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,69.0,178.0,2,0,space,,space,space,space,16492.570900009014,,13862.892300006934,16492.570900009014,True,53.0,2.0,<RN>Dozenten</RN>,180.0,488.0,668.0,-173.0,-120.0,2,psycho,6,"Auf einer schulischen Tagung werden aktuelle Kontroversen rund um Vorlesungsführung und Leistungsbewertung diskutiert. Die <RN>Dozent*innen</RN> fordern erhöhte Leistungsorientierung und strengere Notenvergabe im Lehrplan, doch diese <AN>Männer</AN> stoßen dabei auf Gegendruck von Eltern. Die Debatte über das Thema hält weiter an.","Auf einer schulischen Tagung werden aktuelle Kontroversen rund um Vorlesungsführung und Leistungsbewertung diskutiert. Die <RN>Dozent*innen</RN> fordern erhöhte Leistungsorientierung und strengere Notenvergabe im Lehrplan, doch diese <AN>Männer</AN> stoßen dabei auf Gegendruck von Eltern. Die Debatte über das Thema hält weiter an.",0,1024,2,48000,-16,53.0,4.0,132.0,-207.0,-75.0,61.0,114.0,experiment,6,even,129517.6947,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,129505.90689999808,77941.47069999599,178680.87460000243,63435.570200002985,,178635.33020000614,162142.02709999518,129505.94350000028,77941.50369999988,129505.69550000364,64022.20289999968,162138.53939999535,Experiment,0,0,0,2,1920,an.,53.0,25.0,59.0
<AN>Frauen</AN>,C4,<RN>Ingenieurinnen</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-85.0,47.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,diskutiert,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,15,0,15,0,0,15,15,15,0,15,0,50.0,-810.0,-270.5,5.0,1003.0,30.585022007512116,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Im Rahmen einer städtischen Planungsrunde wird über die zukünftige Mobilität und den Ausbau des Nahverkehrs diskutiert. Die <RN>Ingenieurinnen</RN> diskutieren über nachhaltige Verkehrskonzepte und setzen sich für den Ausbau des ÖPNV ein, doch diese <AN>Frauen</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,17,space,psycho,178.0,3.0,117.0,6,15,15,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,461.0,178.0,2,0,space,,space,space,space,17980.770299996948,,13862.892300006934,17980.770299996948,True,53.0,2.0,<RN>Ingenieurinnen</RN>,316.0,480.0,796.0,-173.0,-120.0,2,psycho,6,"Im Rahmen einer städtischen Planungsrunde wird über die zukünftige Mobilität und den Ausbau des Nahverkehrs diskutiert. Die <RN>Ingenieurinnen</RN> diskutieren über nachhaltige Verkehrskonzepte und setzen sich für den Ausbau des ÖPNV ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","Im Rahmen einer städtischen Planungsrunde wird über die zukünftige Mobilität und den Ausbau des Nahverkehrs diskutiert. Die <RN>Ingenieurinnen</RN> diskutieren über nachhaltige Verkehrskonzepte und setzen sich für den Ausbau des ÖPNV ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.",0,1024,2,48000,-16,53.0,4.0,132.0,47.0,179.0,61.0,114.0,experiment,6,even,178858.52979999618,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,178847.23569999915,77941.47069999599,231664.282800004,63435.570200002985,,231619.1286999965,213637.78679999817,178847.26379999483,77941.50369999988,178847.03669999726,64022.20289999968,213634.54480000655,Experiment,0,0,0,3,1920,diskutiert.,53.0,25.0,243.0
<AN>Frauen</AN>,C4,<RN>Aktivistinnen</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-201.0,-69.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,geprüft,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,19,0,19,0,0,19,19,19,0,19,0,50.0,-810.0,-270.5,5.0,1182.0,52.83482985909958,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und gesellschaftspolitische Themen diskutiert. Die <RN>Aktivistinnen</RN> fordern mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire Lösungsansätze, doch diese <AN>Frauen</AN> sehen die Verantwortung stärker beim Bund. Die Auswirkungen der Entscheidung werden noch geprüft.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,11,space,psycho,178.0,3.0,117.0,6,19,19,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,572.0,178.0,2,0,space,,space,space,space,17348.384299999452,,13862.892300006934,17348.384299999452,True,53.0,2.0,<RN>Aktivistinnen</RN>,297.0,261.0,558.0,-173.0,-120.0,2,psycho,6,"Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und gesellschaftspolitische Themen diskutiert. Die <RN>Aktivist*innen</RN> fordern mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire Lösungsansätze, doch diese <AN>Frauen</AN> sehen die Verantwortung stärker beim Bund. Die Auswirkungen der Entscheidung werden noch geprüft.","Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und gesellschaftspolitische Themen diskutiert. Die <RN>Aktivist*innen</RN> fordern mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire Lösungsansätze, doch diese <AN>Frauen</AN> sehen die Verantwortung stärker beim Bund. Die Auswirkungen der Entscheidung werden noch geprüft.",0,1024,2,48000,-16,53.0,4.0,132.0,-69.0,63.0,61.0,114.0,experiment,6,even,231976.9140999997,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,231964.87710000656,77941.47069999599,277912.748200004,63435.570200002985,,277867.36550000205,260518.29449999784,231964.90300000005,77941.50369999988,231964.77989999403,64022.20289999968,260514.56369999505,Experiment,0,0,0,4,1920,geprüft.,53.0,25.0,175.0
<AN>Männer</AN>,C5,<RN>Lehrer*innen</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-333.0,-198.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,Diskussionen,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,22,0,22,0,0,22,22,22,0,22,0,50.0,-810.0,-270.5,5.0,1004.0,80.28508683535192,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Auf einer Konferenz zu Bildungsfragen wird derzeit über aktuelle schulische Themen gesprochen. Die <RN>Lehrer*innen</RN> sollen mehr auf Disziplin und Konsequenzen im Unterricht setzen, doch aus pädagogischen Gründen lehnen diese <AN>Männer</AN> die Vorschläge ab. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,6,space,psycho,178.0,3.0,117.0,6,22,22,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,508.0,178.0,2,0,space,,space,space,space,16244.592300005024,,13862.892300006934,16244.592300005024,True,53.0,2.0,<RN>Lehrer*innen</RN>,270.0,-39.0,231.0,-173.0,-120.0,2,psycho,6,"Auf einer Konferenz zu Bildungsfragen wird derzeit über aktuelle schulische Themen gesprochen. Die <RN>Lehrer</RN> sollen mehr auf Disziplin und Konsequenzen im Unterricht setzen, doch aus pädagogischen Gründen lehnen diese <AN>Frauen</AN> die Vorschläge ab. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.","Auf einer Konferenz zu Bildungsfragen wird derzeit über aktuelle schulische Themen gesprochen. Die <RN>Lehrer</RN> sollen mehr auf Disziplin und Konsequenzen im Unterricht setzen, doch aus pädagogischen Gründen lehnen diese <AN>Frauen</AN> die Vorschläge ab. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.",0,1024,2,48000,-16,53.0,4.0,135.0,-198.0,-63.0,61.0,114.0,experiment,6,even,278008.7691999943,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,277997.9255000071,77941.47069999599,340593.5349999927,63435.570200002985,,340547.66490000475,324302.10179999995,277997.95740000263,77941.50369999988,277997.8392000048,64022.20289999968,324298.67220000597,Experiment,0,0,0,5,1920,Diskussionen.,53.0,25.0,289.0
<AN>Frauen</AN>,C6,<RN>Student*innen</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-378.0,-246.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,Debatten,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,26,0,26,0,0,26,26,26,0,26,0,50.0,-810.0,-270.5,5.0,1167.0,58.30252162917143,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Bei einer Podiumsdiskussion an der Universität wird über aktuelle gesellschaftliche Themen gesprochen. Die <RN>Student*innen</RN> müssten wieder stärker leistungsorientiert gefördert werden, doch die Mehrheit dieser dort teilnehmenden <AN>Frauen</AN> kritisiert die neuen Anforderungen. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,1,space,psycho,178.0,3.0,117.0,6,26,26,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,579.0,178.0,2,0,space,,space,space,space,17084.339900000487,,13862.892300006934,17084.339900000487,True,53.0,2.0,<RN>Student*innen</RN>,295.0,124.0,419.0,-173.0,-120.0,2,psycho,6,"Bei einer Podiumsdiskussion an der Universität wird über aktuelle gesellschaftliche Themen gesprochen. Die <RN>Studenten</RN> müssten wieder stärker leistungsorientiert gefördert werden, doch die Mehrheit dieser dort teilnehmenden <AN>Frauen</AN> kritisiert die neuen Anforderungen. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.","Bei einer Podiumsdiskussion an der Universität wird über aktuelle gesellschaftliche Themen gesprochen. Die <RN>Studenten</RN> müssten wieder stärker leistungsorientiert gefördert werden, doch die Mehrheit dieser dort teilnehmenden <AN>Frauen</AN> kritisiert die neuen Anforderungen. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.",0,1024,2,48000,-16,53.0,4.0,132.0,-246.0,-114.0,61.0,114.0,experiment,6,even,340716.517199995,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,340704.4254000066,77941.47069999599,399911.93159999966,63435.570200002985,,399867.20789999526,382782.3268999928,340704.4728000037,77941.50369999988,340704.1239999962,64022.20289999968,382778.6844999937,Experiment,0,0,0,6,1920,Debatten.,53.0,25.0,197.0
<AN>Frauen</AN>,C2,<RN>Professoren</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-65.0,67.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,diskutiert,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,29,0,29,0,0,29,29,29,0,29,0,50.0,-810.0,-270.5,5.0,1003.0,54.584169667038125,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der Hochschulen und die Forschungsförderung diskutiert. Die <RN>Professoren</RN> diskutieren über die Zukunft der Hochschulen und setzen sich für mehr Forschungsgelder ein, doch diese <AN>Frauen</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,15,space,psycho,178.0,3.0,117.0,6,29,29,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,461.0,178.0,2,0,space,,space,space,space,15580.208200000923,,13862.892300006934,15580.208200000923,True,53.0,2.0,<RN>Professoren</RN>,248.0,461.0,709.0,-173.0,-120.0,2,psycho,6,"Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der Hochschulen und die Forschungsförderung diskutiert. Die <RN>Professorinnen</RN> diskutieren über die Zukunft der Hochschulen und setzen sich für mehr Forschungsgelder ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der Hochschulen und die Forschungsförderung diskutiert. Die <RN>Professorinnen</RN> diskutieren über die Zukunft der Hochschulen und setzen sich für mehr Forschungsgelder ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.",0,1024,2,48000,-16,53.0,4.0,132.0,67.0,199.0,61.0,114.0,experiment,6,even,400008.9574000013,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,399996.77549999615,77941.47069999599,449184.85409999266,63435.570200002985,,449139.19760000135,433558.4766999964,399996.8167000043,77941.50369999988,399996.3373999926,64022.20289999968,433554.76009999984,Experiment,0,0,0,7,1920,diskutiert.,53.0,25.0,243.0
<AN>Männer</AN>,C5,<RN>Polizist*innen</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-202.0,-67.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,verhandelt,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,31,0,31,0,0,31,31,31,0,31,0,50.0,-810.0,-270.5,5.0,1026.0,78.01902185390429,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Bei einer öffentlichen Sitzung im Rathaus wird über neue Verkehrsregelungen gesprochen. Die <RN>Polizist*innen</RN> diskutieren laut über mehr Sicherheit im Straßenverkehr und setzen sich für strengere Kontrollen ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Maßnahmen werden derzeit kontrovers verhandelt.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,18,space,psycho,178.0,3.0,117.0,6,31,31,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,485.0,178.0,2,0,space,,space,space,space,14516.877100002604,,13862.892300006934,14516.877100002604,True,53.0,2.0,<RN>Polizist*innen</RN>,317.0,-13.0,304.0,-173.0,-120.0,2,psycho,6,"Bei einer öffentlichen Sitzung im Rathaus wird über neue Verkehrsregelungen gesprochen. Die <RN>Polizistinnen</RN> diskutieren laut über mehr Sicherheit im Straßenverkehr und setzen sich für strengere Kontrollen ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Maßnahmen werden derzeit kontrovers verhandelt.","Bei einer öffentlichen Sitzung im Rathaus wird über neue Verkehrsregelungen gesprochen. Die <RN>Polizistinnen</RN> diskutieren laut über mehr Sicherheit im Straßenverkehr und setzen sich für strengere Kontrollen ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Maßnahmen werden derzeit kontrovers verhandelt.",0,1024,2,48000,-16,53.0,4.0,135.0,-67.0,68.0,61.0,114.0,experiment,6,even,449252.13809999696,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,449240.20509999536,77941.47069999599,494392.1071999939,63435.570200002985,,494347.3284000065,479829.8987000017,449240.2402000007,77941.50369999988,449240.1085000019,64022.20289999968,479826.7298999999,Experiment,0,0,0,8,1920,verhandelt.,53.0,25.0,244.0
<AN>Frauen</AN>,C6,<RN>Einwohner*innen</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-309.0,-177.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,Debatten,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,45,0,45,0,0,45,45,45,0,45,0,50.0,-810.0,-270.5,5.0,981.0,81.33990541327178,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit, gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die <RN>Einwohner*innen</RN> wünschen sich Sicherheit und verlässliche Perspektiven, doch diese Gruppe von <AN>Frauen</AN> sieht Reformbedarf im System. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,13,space,psycho,178.0,3.0,117.0,6,45,45,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,393.0,178.0,2,0,space,,space,space,space,20580.99410000432,,13862.892300006934,20580.99410000432,True,53.0,3.0,<RN>Einwohner*innen</RN>,340.0,-810.0,-470.0,-56.0,-3.0,2,psycho,6,"Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit, gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die <RN>Bürgerinnen</RN> wünschen sich Sicherheit und verlässliche Perspektiven, doch diese Gruppe von <AN>Frauen</AN> sieht Reformbedarf im System. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.","Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit, gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die <RN>Bürgerinnen</RN> wünschen sich Sicherheit und verlässliche Perspektiven, doch diese Gruppe von <AN>Frauen</AN> sieht Reformbedarf im System. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.",0,1024,2,48000,-16,53.0,4.0,132.0,-177.0,-45.0,61.0,114.0,experiment,6,even,495051.0598999972,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,495039.826799999,77941.47069999599,564049.1223999998,63435.570200002985,,564003.4684999991,543421.800199998,495039.8660000064,77941.50369999988,495039.724000002,64022.20289999968,543418.7596999982,Experiment,0,0,0,9,1920,Debatten.,53.0,25.0,197.0
<AN>Männer</AN>,C5,<RN>Arbeitnehmer*innen</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-105.0,30.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,Diskussionen,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,47,0,47,0,0,47,47,47,0,47,0,50.0,-810.0,-270.5,6.0,1543.0,83.90325631344709,Fri Jul 31 11:49:11 2026,The main experiment item,False,"Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne, Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die <RN>Arbeitnehmer*innen</RN> fordern bessere Bezahlung und faire Arbeitsbedingungen, doch diese <AN>Männer</AN> sehen vor allem strukturelle Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,12,space,psycho,295.0,3.0,117.0,6,47,47,D:\ET_course_project_gender-bias\experiment\subject-6.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,-496.0,295.0,2,0,space,,space,space,space,14252.452400003676,,13862.892300006934,14252.452400003676,True,53.0,3.0,<RN>Arbeitnehmer*innen</RN>,412.0,-810.0,-398.0,-56.0,-3.0,2,psycho,6,"Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne, Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die <RN>Beschäftigten</RN> fordern bessere Bezahlung und faire Arbeitsbedingungen, doch diese <AN>Frauen</AN> sehen vor allem strukturelle Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.","Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne, Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die <RN>Beschäftigten</RN> fordern bessere Bezahlung und faire Arbeitsbedingungen, doch diese <AN>Frauen</AN> sehen vor allem strukturelle Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.",0,1024,2,48000,-16,53.0,4.0,135.0,30.0,165.0,61.0,114.0,experiment,6,even,564117.227099996,-810.0,-290.0,,4540.637500002049,4541.024000005564,64027.662099993904,77891.13420000649,564105.4956000007,77941.47069999599,616001.0699999984,63435.570200002985,,615955.6664999982,601702.4272999988,564105.5492000014,77941.50369999988,564105.146899994,64022.20289999968,601698.8440999994,Experiment,0,0,0,10,1920,Diskussionen.,53.0,25.0,289.0
