trial_id,aoi_type,n_fixations,first_pass_duration,total_duration,go_past_duration,regressions_in,subject,RN,AN,Code,confusion,correctness_rn,correctness_an,exposure_use,exposure_percept,form,anaphor,match
0,rn,4,235,730,11243,0,subject-1,Krankenschwestern,Frauen,C4,False,correct,wrong,2.0,3.5,fem,F,match
0,an,3,194,877,194,0,subject-1,Krankenschwestern,Frauen,C4,False,correct,wrong,2.0,3.5,fem,F,match
0,spill,1,168,168,168,0,subject-1,Krankenschwestern,Frauen,C4,False,correct,wrong,2.0,3.5,fem,F,match
1,rn,0,0,0,0,0,subject-1,Pfleger,Frauen,C2,False,correct,wrong,2.0,3.5,masc,F,mismatch
1,an,3,160,548,160,1,subject-1,Pfleger,Frauen,C2,False,correct,wrong,2.0,3.5,masc,F,mismatch
1,spill,1,154,154,154,0,subject-1,Pfleger,Frauen,C2,False,correct,wrong,2.0,3.5,masc,F,mismatch
2,rn,1,355,355,355,0,subject-1,Experten,Frauen,C2,False,correct,wrong,2.0,3.5,masc,F,mismatch
2,an,1,416,416,416,0,subject-1,Experten,Frauen,C2,False,correct,wrong,2.0,3.5,masc,F,mismatch
2,spill,2,288,469,1273,0,subject-1,Experten,Frauen,C2,False,correct,wrong,2.0,3.5,masc,F,mismatch
3,rn,2,315,563,315,1,subject-1,Einwohner,Frauen,C2,False,correct,correct,2.0,3.5,masc,F,mismatch
3,an,0,0,0,0,0,subject-1,Einwohner,Frauen,C2,False,correct,correct,2.0,3.5,masc,F,mismatch
3,spill,0,0,0,0,0,subject-1,Einwohner,Frauen,C2,False,correct,correct,2.0,3.5,masc,F,mismatch
4,rn,5,247,1158,247,2,subject-1,Arbeitnehmer*innen,Männer,C5,False,wrong,correct,2.0,3.5,star,M,star
4,an,2,221,462,623,1,subject-1,Arbeitnehmer*innen,Männer,C5,False,wrong,correct,2.0,3.5,star,M,star
4,spill,3,228,610,1400,0,subject-1,Arbeitnehmer*innen,Männer,C5,False,wrong,correct,2.0,3.5,star,M,star
5,rn,2,181,362,181,0,subject-1,Polizist*innen,Frauen,C6,False,wrong_gender,correct,2.0,3.5,star,F,star
5,an,2,194,408,428,0,subject-1,Polizist*innen,Frauen,C6,False,wrong_gender,correct,2.0,3.5,star,F,star
5,spill,1,201,201,201,0,subject-1,Polizist*innen,Frauen,C6,False,wrong_gender,correct,2.0,3.5,star,F,star
6,rn,7,415,1895,676,3,subject-1,Unternehmerinnen,Frauen,C4,False,wrong,correct,2.0,3.5,fem,F,match
6,an,1,208,208,208,0,subject-1,Unternehmerinnen,Frauen,C4,False,wrong,correct,2.0,3.5,fem,F,match
6,spill,0,0,0,0,0,subject-1,Unternehmerinnen,Frauen,C4,False,wrong,correct,2.0,3.5,fem,F,match
7,rn,5,155,1218,677,2,subject-1,Ingenieur*innen,Männer,C5,False,wrong_gender,correct,2.0,3.5,star,M,star
7,an,2,187,509,187,0,subject-1,Ingenieur*innen,Männer,C5,False,wrong_gender,correct,2.0,3.5,star,M,star
7,spill,0,0,0,0,0,subject-1,Ingenieur*innen,Männer,C5,False,wrong_gender,correct,2.0,3.5,star,M,star
8,rn,4,134,1086,382,2,subject-1,Einwohner,Männern,C1,True,correct,correct,2.0,3.5,masc,M,match
8,an,3,175,577,175,1,subject-1,Einwohner,Männern,C1,True,correct,correct,2.0,3.5,masc,M,match
8,spill,2,167,361,167,1,subject-1,Einwohner,Männern,C1,True,correct,correct,2.0,3.5,masc,M,match
9,rn,2,234,448,234,1,subject-1,Experten,Männer,C1,False,wrong,wrong,2.0,3.5,masc,M,match
9,an,1,174,174,174,0,subject-1,Experten,Männer,C1,False,wrong,wrong,2.0,3.5,masc,M,match
9,spill,0,0,0,0,0,subject-1,Experten,Männer,C1,False,wrong,wrong,2.0,3.5,masc,M,match
10,rn,4,288,903,515,0,subject-1,Aktivist*innen,Männer,C5,False,wrong,correct,2.0,3.5,star,M,star
10,an,2,382,569,1802,0,subject-1,Aktivist*innen,Männer,C5,False,wrong,correct,2.0,3.5,star,M,star
10,spill,0,0,0,0,0,subject-1,Aktivist*innen,Männer,C5,False,wrong,correct,2.0,3.5,star,M,star
11,rn,5,261,770,12962,0,subject-1,Dozentinnen,Männer,C3,False,wrong,correct,2.0,3.5,fem,M,mismatch
11,an,2,154,355,154,0,subject-1,Dozentinnen,Männer,C3,False,wrong,correct,2.0,3.5,fem,M,mismatch
11,spill,0,0,0,0,0,subject-1,Dozentinnen,Männer,C3,False,wrong,correct,2.0,3.5,fem,M,mismatch
12,rn,5,174,878,15667,0,subject-1,Professorinnen,Männer,C3,False,wrong,correct,2.0,3.5,fem,M,mismatch
12,an,3,188,650,188,0,subject-1,Professorinnen,Männer,C3,False,wrong,correct,2.0,3.5,fem,M,mismatch
12,spill,0,0,0,0,0,subject-1,Professorinnen,Männer,C3,False,wrong,correct,2.0,3.5,fem,M,mismatch
13,rn,4,676,1418,1029,0,subject-1,Lehrer*innen,Frauen,C6,False,correct,correct,2.0,3.5,star,F,star
13,an,1,201,201,201,0,subject-1,Lehrer*innen,Frauen,C6,False,correct,correct,2.0,3.5,star,F,star
13,spill,1,161,161,972,0,subject-1,Lehrer*innen,Frauen,C6,False,correct,correct,2.0,3.5,star,F,star
14,rn,2,221,415,221,0,subject-1,Studenten,Männer,C1,False,correct,correct,2.0,3.5,masc,M,match
14,an,1,181,181,181,0,subject-1,Studenten,Männer,C1,False,correct,correct,2.0,3.5,masc,M,match
14,spill,0,0,0,0,0,subject-1,Studenten,Männer,C1,False,correct,correct,2.0,3.5,masc,M,match
15,rn,10,355,2209,912,4,subject-1,Arbeitnehmer*innen,Frauen,C6,True,wrong,correct,2.0,3.5,star,F,star
15,an,0,0,0,0,0,subject-1,Arbeitnehmer*innen,Frauen,C6,True,wrong,correct,2.0,3.5,star,F,star
15,spill,2,181,463,181,0,subject-1,Arbeitnehmer*innen,Frauen,C6,True,wrong,correct,2.0,3.5,star,F,star
16,rn,3,114,488,114,1,subject-1,Expertinnen,Frauen,C4,False,correct,correct,2.0,3.5,fem,F,match
16,an,0,0,0,0,0,subject-1,Expertinnen,Frauen,C4,False,correct,correct,2.0,3.5,fem,F,match
16,spill,1,180,180,180,0,subject-1,Expertinnen,Frauen,C4,False,correct,correct,2.0,3.5,fem,F,match
17,rn,5,221,1060,221,2,subject-1,Ingenieurinnen,Männer,C3,False,wrong,wrong,2.0,3.5,fem,M,mismatch
17,an,2,160,340,507,0,subject-1,Ingenieurinnen,Männer,C3,False,wrong,wrong,2.0,3.5,fem,M,mismatch
