;;;;;;;;2. Wie oft gender-inclusive Sprache;;3. Wie oft bemerkst du gender-inclusive Sprache?;;;;
;Subject;Age;Date;Time;List;Gender;1. Worum ging es?;2.a) Gesprochen;2. b) geschrieben;3.a) gesprochen;3.b) geschrieben;4. Meinung zu gender-inclusiver Sprache?;5. Politisches Spektrum;6. Wann hast du von gender-inclusiver Sprache erfahren?
;1;24;28-Jul;12:00;1;male;Keywords beim lesen beobachten (schauen auf welche worte besonders lange geschaut wurde);2;2;4;3;kann man machen, für ihn wäre es kein problem wenns nicht gemacht wird;Links zur Mitte;in der schule, vor ein paar jahren als es diskutiert wurde etwa abi zeit
;2;21;28-Jul;12:30;2;male;gendern;2;2;4;3;egal, ist aber nervig;Links zur Mitte;in der schule 10. klasse
;3;22;28-Jul;13:20;3;male;gendern;4;5;3;4;wichtig und richtig er findet beim sprechen wichtiger als beim schreiben kann die sicht von frauen nicht bewerten nutzt oft die neutrale sprache;Links zur Mitte;bei der debatte in social media
;4;22;28-Jul;13:51;4;male;allgemeine politische themen;2;3;5;5;gut;Links;in der 9. oder 10. klasse
;5;29;31-Jul;11:10;5;male;erst wo sind stehende informationen im text, dann hat er gemerkt dass öfter männer und gegendert wird und wer wiedersprochen hat;2;3;2;3;wichtig und richtig er findet beim sprechen wichtiger als beim schreiben kann die sicht von frauen nicht bewerten nutzt oft die neutrale sprache;Links zur Mitte;2015 im abi bestimmt, aber 2016/17 im internet
;6;24;31-Jul;11:30;6;male;gendern von personengruppen;2;4;5;4;findet er gut;Links zur Mitte;erst in der uni 
;7;29;4-Aug;9:00;1;female;informationsverarbeitung und irgendwas mit männer und frauen;4;4;4;5;wichtig und richtig und gut;Links;2011 in den medien und an der uni über die fachschaft
;8;22;4-Aug;9:30;2;female;frauen oder männer mit gendern;1;3;1;3;findet sie gut;Links;2019/2020 im deutschunterricht
;9;28;9-Aug;9:30;3;male;gender sprache;2;3;2;3;positiv;Links;social media irgendwann mal
;10;23;9-Aug;10:30;4;male;welche teile von absäten genauer gelesen werde und welche übersprunge werden, auch wenn der text sich von der struktur wiederholt;3;2;4;3;positiv;Links;durch social media nachrichten irgendwann im studium sternchen oder doppelpunkt debatte
;11;24;9-Aug;10:51;5;male;wie der satzaufbau ist und wie man was warnimmt und welche schlagwörter man sich merkt.;2;1;3;4;gut aber hab häufig nicht den bedarf wegen den gruppen in denen man sich befindet, also für frauen ja, also das alte gendern mit lehrer und lehrerin;Links zur Mitte;weiterführende schule
;12;42;13-Aug;10:00;6;female;bestimmte pluralisierungen eher männlkich oder weiblich;3;4;2;4;wenns den sprachfluss nicht stört kann man es machen, hätte lieber beide formen ausgesprochen;Links zur Mitte;vor so sieben jahren wahrscheinlich vor der debatte
;13;26;13-Aug;10:30;3;female;zuerst die gehirnhelften und dann war es sehr wirtschaftlich und politisch dann orte und dann hat sie gemerkt dass frauen und männer keywords;2;4;4;2;einerseits nicht so wichitg, aber es tut nicht weh also kann man es machen;Mitte;so vor drei jahren
;14;20;13-Aug;11:30;1;male;diese männer diese frauen;3;2;3;4;kann man machen;Links zur Mitte;nachrichten als die debatte aufkam
