PID;1. Confustion?;1. RN right?;1. AN right?;2. Confustion?;2. RN right?;2. AN right?;3. Confustion?;3. RN right?;3. AN right?;4. Confustion?;4. RN right?;4. AN right?;5. Confustion?;5. RN right?;5. AN right?;6. Confustion?;6. RN right?;6. AN right?;7. Confustion?;7. RN right?;7. AN right?;8. Confustion?;8. RN right?;8. AN right?;9. Confustion?;9. RN right?;9. AN right?;10. Confustion?;10. RN right?;10. AN right?;11. Confustion?;11. RN right?;11. AN right?;12. Confustion?;12. RN right?;12. AN right?;13. Confustion?;13. RN right?;13. AN right?;14. Confustion?;14. RN right?;14. AN right?;15. Confustion?;15. RN right?;15. AN right?;16. Confustion?;16. RN right?;16. AN right?;17. Confustion?;17. RN right?;17. AN right?;18. Confustion?;18. RN right?;18. AN right?
subject-1;N;J;N;N;J;N;N;J;N;N;J;J;N;N;J;N;G;J;N;N;J;N;G;J;J;J;J;N;N;N;N;N;J;N;N;J;N;N;J;N;J;J;N;J;J;J;N;J;N;J;J;N;N;N
subject-2;J;J;N;N;N;N;J;N;N;J;N;J;J;J;N;J;J;N;N;N;N;J;J;N;N;N;N;J;N;N;J;N;N;J;N;N;N;N;N;N;N;N;N;N;J;N;N;N;J;N;N;N;G;N
subject-3;N;N;N;N;N;J;N;N;N;N;N;J;J;J;N;N;J;J;N;J;J;N;J;J;N;J;J;N;J;J;N;J;J;N;N;J;N;N;J;N;G;J;N;J;J;J;N;J;N;G;J;N;J;J
subject-4;J;N;N;N;N;N;N;N;J;N;N;J;N;N;J;N;N;J;N;N;N;N;N;J;N;G;N;N;N;J;N;G;N;J;N;N;J;N;N;N;N;N;J;N;N;N;N;N;N;N;N;N;N;N
subject-5;N;N;N;J;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;J;N;N;J;J;N;N;J;N;N;N;N;N;J;N;N;J;N;J;N;N;N;G;J;J;G;N;N;J;N
subject-6;N;N;N;N;N;N;N;J;J;N;J;N;N;J;N;N;J;N;N;J;J;N;J;J;N;J;J;N;N;N;J;G;N;N;J;J;N;J;J;N;J;N;N;J;N;N;J;J;N;J;J;N;G;N
subject-7;J;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;INVALID;N;N;N;N;N;N;N;N;N;N;N;N;J;N;N;J;N;N;G;N;N;G;N;N;N;N
subject-8;J;N;J;J;G;J;N;N;J;J;N;J;N;J;J;J;N;J;N;N;J;J;N;J;N;G;J;J;N;J;J;N;J;N;J;J;J;G;J;N;J;J;N;J;J;N;G;N;J;N;J;N;J;J
subject-9;N;G;J;J;G;J;N;J;N;N;G;J;J;J;J;N;J;J;J;G;J;J;J;J;N;G;J;J;J;J;N;N;J;N;J;J;N;G;J;N;J;J;J;J;J;N;J;J;N;J;N;N;J;J
subject-10;N;N;J;N;J;N;N;N;N;J;N;N;N;G;J;N;N;J;N;J;N;J;J;J;J;J;N;J;J;N;N;J;J;N;J;J;N;J;N;N;J;N;N;J;N;J;N;N;N;N;N;N;J;N
subject-11;N;N;J;N;N;N;N;N;J;N;N;J;N;N;N;J;N;N;N;N;J;J;J;N;N;J;N;N;N;N;J;N;N;N;N;N;J;N;N;N;N;N;N;G;J;J;N;J;N;N;J;N;G;N
subject-12;J;N;N;N;N;N;J;N;N;N;N;N;N;N;N;N;N;N;J;N;N;N;N;N;J;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;J;N;N;J;N;N;J;N;N;N;N;N
subject-13;N;N;N;N;N;N;J;J;J;N;N;N;N;N;N;N;N;J;N;G;J;N;N;N;N;N;J;N;N;J;N;N;N;N;N;J;N;N;J;N;N;N;N;N;N;N;N;J;N;G;N;N;J;J
subject-14;J;N;N;N;N;J;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;J;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
