"AN","Code","RN","acc","accuracy","an_found","an_height","an_line","an_text","an_width","an_x1","an_x2","an_y1","an_y2","average_response_time","avg_rt","background","box_width","canvas_backend","central_fixation","clean_word","clock_backend","color_backend","correct","correct_instruction","correct_question_sketchpad","count_ending_sketchpad","count_experiment","count_eyetracker_calibration","count_instruction","count_instruction_pygaze_log","count_list_filter","count_liste_auswahl","count_logger","count_pygaze_start_recording","count_pygaze_stop_recording","count_question_pygaze_log","count_question_sketchpad","count_sentence_script","count_trial_loop","count_trial_sequence","count_var_init_inline_script","cross_size","cross_x","cross_y","current_line","current_line_width","d","datetime","description","disable_garbage_collection","display_sentence","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","key","keyboard_backend","last_line_y","line_height_factor","line_spacing","list","live_row","live_row_trial_loop","logfile","margin","mouse_backend","name","opensesame_codename","opensesame_version","position_x","position_y","psychopy_screen","repeat_cycle","response","response_ending_sketchpad","response_instruction","response_key","response_question_sketchpad","response_time","response_time_ending_sketchpad","response_time_instruction","response_time_question_sketchpad","rn_found","rn_height","rn_line","rn_text","rn_width","rn_x1","rn_x2","rn_y1","rn_y2","round_decimals","sampler_backend","selected_list","sentence","sentence_text","skip_trial","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spill_height","spill_line","spill_width","spill_x1","spill_x2","spill_y1","spill_y2","start","subject_nr","subject_parity","t0","text_start_x","text_start_y","time_ending_sketchpad","time_experiment","time_eyetracker_calibration","time_instruction","time_instruction_pygaze_log","time_list_filter","time_liste_auswahl","time_logger","time_pygaze_start_recording","time_pygaze_stop_recording","time_question_pygaze_log","time_question_sketchpad","time_sentence_script","time_trial_loop","time_trial_sequence","time_var_init_inline_script","timestamp","title","total_correct","total_response_time","total_responses","trial_counter","width","word","word_height","word_spacing","word_width"
"<AN>Männer</AN>","C1","<RN>Pfleger</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","None","None","None","None","None","Fri Jul 24 10:10:53 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","2","None","legacy","None","None","None","6","0","0","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","20025.0","NA","20025","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Im Rahmen einer Gesprächsrunde im Gesundheitswesen wird derzeit über aktuelle gesellschaftliche Herausforderungen diskutiert. Die <RN>Pflegekräfte</RN> verdienen bessere Arbeitsbedingungen und benötigen langfristig mehr Unterstützung, doch diese <AN>Männer</AN> fühlen sich politisch nicht ausreichend unterstützt. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","2","even","None","None","None","NA","1363","1364","4145","24172","24236","24214","24236","4144","NA","NA","NA","NA","24214","24236","4144","None","Experiment","0","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C6","<RN>Student*innen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1","0","None","None","None","None","None","None","Fri Jul 24 10:10:53 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","1","None","legacy","None","None","None","6","1","1","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","20025.0","NA","20025","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Bei einer Podiumsdiskussion an der Universität wird über aktuelle gesellschaftliche Themen gesprochen. Die <RN>Studenten</RN> müssten wieder stärker leistungsorientiert gefördert werden, doch die Mehrheit dieser dort teilnehmenden <AN>Frauen</AN> kritisiert die neuen Anforderungen. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","2","even","None","None","None","NA","1363","1364","4145","24172","24261","24214","24261","4144","NA","NA","NA","NA","24214","24261","4144","None","Experiment","0","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C4","<RN>Unternehmerinnen</RN>","undefined","undefined","True","53","4","<AN>Frauen</AN>","132","-84.0","48.0","61.0","114.0","undefined","undefined","#232323","1620","legacy","True","umstritten","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","2","0","2","0","0","2","2","2","0","2","0","50","-810.0","-270.5","5","1152.0","99.22827218086587","Fri Jul 24 10:10:53 2026","The main experiment item","False","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Frauen</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","39","no","white","no","yes","1080","4","right","legacy","178.0","3.0","117","1","2","2","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","150","legacy","an_found","Neonatal Nightingale","4.1.9","610.0","178.0","2","0","right","NA","right","right","right","6023.0","NA","20025","6023","True","53","3","<RN>Unternehmerinnen</RN>","364","-810.0","-446.0","-56.0","-3.0","2","legacy","1","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","0","1024","2","48000","-16","53","4","132","48.0","180.0","61.0","114.0","experiment","2","even","24289.0","-810.0","-290.0","NA","1363","1364","4145","24172","24282","24214","35045","4144","NA","35003","28980","24282","24214","24282","4144","28978","Experiment","0","0","0","1","1920","umstritten.","53","25","243"
"<AN>Frauen</AN>","C4","<RN>Dozentinnen</RN>","undefined","undefined","True","53","4","<AN>Frauen</AN>","132","-84.0","48.0","61.0","114.0","undefined","undefined","#232323","1620","legacy","True","umstritten","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","3","0","3","0","0","3","3","3","0","3","0","50","-810.0","-270.5","5","1152.0","99.22827218086587","Fri Jul 24 10:10:53 2026","The main experiment item","False","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Frauen</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","39","no","white","no","yes","1080","9","right","legacy","178.0","3.0","117","2","3","3","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","150","legacy","an_found","Neonatal Nightingale","4.1.9","610.0","178.0","2","0","right","NA","right","right","right","6023.0","NA","20025","6023","True","53","3","<RN>Unternehmerinnen</RN>","364","-810.0","-446.0","-56.0","-3.0","2","legacy","1","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Auf einer schulischen Tagung werden aktuelle Kontroversen rund um Vorlesungsführung und Leistungsbewertung diskutiert. Die <RN>Dozent*innen</RN> fordern erhöhte Leistungsorientierung und strengere Notenvergabe im Lehrplan, doch diese <AN>Männer</AN> stoßen dabei auf Gegendruck von Eltern. Die Debatte über das Thema hält weiter an.","1","1024","2","48000","-16","53","4","132","48.0","180.0","61.0","114.0","experiment","2","even","24289.0","-810.0","-290.0","NA","1363","1364","4145","24172","35073","24214","35073","4144","NA","35003","28980","24282","24214","35073","4144","28978","Experiment","0","0","0","1","1920","umstritten.","53","25","243"
"<AN>Frauen</AN>","C6","<RN>Professor*innen</RN>","undefined","undefined","True","53","4","<AN>Frauen</AN>","132","-84.0","48.0","61.0","114.0","undefined","undefined","#232323","1620","legacy","True","umstritten","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","4","0","4","0","0","4","4","4","0","4","0","50","-810.0","-270.5","5","1152.0","99.22827218086587","Fri Jul 24 10:10:53 2026","The main experiment item","False","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Frauen</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","39","no","white","no","yes","1080","15","right","legacy","178.0","3.0","117","4","4","4","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","150","legacy","an_found","Neonatal Nightingale","4.1.9","610.0","178.0","2","0","right","NA","right","right","right","6023.0","NA","20025","6023","True","53","3","<RN>Unternehmerinnen</RN>","364","-810.0","-446.0","-56.0","-3.0","2","legacy","1","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der Hochschulen und die Forschungsförderung diskutiert. Die <RN>Professorinnen</RN> diskutieren über die Zukunft der Hochschulen und setzen sich für mehr Forschungsgelder ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","53","4","132","48.0","180.0","61.0","114.0","experiment","2","even","24289.0","-810.0","-290.0","NA","1363","1364","4145","24172","35094","24214","35094","4144","NA","35003","28980","24282","24214","35094","4144","28978","Experiment","0","0","0","1","1920","umstritten.","53","25","243"
"<AN>Frauen</AN>","C6","<RN>Unternehmer*innen</RN>","undefined","undefined","True","53","4","<AN>Frauen</AN>","132","-84.0","48.0","61.0","114.0","undefined","undefined","#232323","1620","legacy","True","umstritten","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","5","0","5","0","0","5","5","5","0","5","0","50","-810.0","-270.5","5","1152.0","99.22827218086587","Fri Jul 24 10:10:53 2026","The main experiment item","False","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Frauen</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","39","no","white","no","yes","1080","4","right","legacy","178.0","3.0","117","3","5","5","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","150","legacy","an_found","Neonatal Nightingale","4.1.9","610.0","178.0","2","0","right","NA","right","right","right","6023.0","NA","20025","6023","True","53","3","<RN>Unternehmerinnen</RN>","364","-810.0","-446.0","-56.0","-3.0","2","legacy","1","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","1","1024","2","48000","-16","53","4","132","48.0","180.0","61.0","114.0","experiment","2","even","24289.0","-810.0","-290.0","NA","1363","1364","4145","24172","35118","24214","35118","4144","NA","35003","28980","24282","24214","35118","4144","28978","Experiment","0","0","0","1","1920","umstritten.","53","25","243"
"<AN>Männern</AN>","C5","<RN>Expert*innen</RN>","undefined","undefined","True","53","4","<AN>Frauen</AN>","132","-84.0","48.0","61.0","114.0","undefined","undefined","#232323","1620","legacy","True","umstritten","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","6","0","6","0","0","6","6","6","0","6","0","50","-810.0","-270.5","5","1152.0","99.22827218086587","Fri Jul 24 10:10:53 2026","The main experiment item","False","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Frauen</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","39","no","white","no","yes","1080","10","right","legacy","178.0","3.0","117","2","6","6","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","150","legacy","an_found","Neonatal Nightingale","4.1.9","610.0","178.0","2","0","right","NA","right","right","right","6023.0","NA","20025","6023","True","53","3","<RN>Unternehmerinnen</RN>","364","-810.0","-446.0","-56.0","-3.0","2","legacy","1","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Im Rahmen einer universitären Veranstaltung werden aktuelle Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit dieser <RN>Fachleute</RN> sehen eine stärkere Aufrüstung für Deutschland als notwendig, doch diese Gruppe von <AN>Frauen</AN> kritisiert dessen Finanzierung. Die Auswirkungen der Entscheidung werden noch geprüft.","1","1024","2","48000","-16","53","4","132","48.0","180.0","61.0","114.0","experiment","2","even","24289.0","-810.0","-290.0","NA","1363","1364","4145","24172","35140","24214","35140","4144","NA","35003","28980","24282","24214","35140","4144","28978","Experiment","0","0","0","1","1920","umstritten.","53","25","243"
"<AN>Frauen</AN>","C2","<RN>Lehrer</RN>","undefined","undefined","True","53","4","<AN>Frauen</AN>","132","-84.0","48.0","61.0","114.0","undefined","undefined","#232323","1620","legacy","True","umstritten","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","7","0","7","0","0","7","7","7","0","7","0","50","-810.0","-270.5","5","1152.0","99.22827218086587","Fri Jul 24 10:10:53 2026","The main experiment item","False","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Frauen</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","39","no","white","no","yes","1080","6","right","legacy","178.0","3.0","117","3","7","7","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","150","legacy","an_found","Neonatal Nightingale","4.1.9","610.0","178.0","2","0","right","NA","right","right","right","6023.0","NA","20025","6023","True","53","3","<RN>Unternehmerinnen</RN>","364","-810.0","-446.0","-56.0","-3.0","2","legacy","1","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Auf einer Konferenz zu Bildungsfragen in Stuttgart  wird derzeit über aktuelle schulische Themen gesprochen. Die <RN>Lehrer</RN> sollen mehr auf Disziplin und Konsequenzen im Unterricht setzen, doch aus pädagogischen Gründen lehnen diese <AN>Frauen</AN> die Vorschläge ab. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.","1","1024","2","48000","-16","53","4","132","48.0","180.0","61.0","114.0","experiment","2","even","24289.0","-810.0","-290.0","NA","1363","1364","4145","24172","35165","24214","35165","4144","NA","35003","28980","24282","24214","35165","4144","28978","Experiment","0","0","0","1","1920","umstritten.","53","25","243"
"<AN>Männer</AN>","C5","<RN>Krankenpfleger*innen</RN>","undefined","undefined","True","53","4","<AN>Frauen</AN>","132","-84.0","48.0","61.0","114.0","undefined","undefined","#232323","1620","legacy","True","umstritten","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","8","0","8","0","0","8","8","8","0","8","0","50","-810.0","-270.5","5","1152.0","99.22827218086587","Fri Jul 24 10:10:53 2026","The main experiment item","False","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Frauen</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","39","no","white","no","yes","1080","16","right","legacy","178.0","3.0","117","2","8","8","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","150","legacy","an_found","Neonatal Nightingale","4.1.9","610.0","178.0","2","0","right","NA","right","right","right","6023.0","NA","20025","6023","True","53","3","<RN>Unternehmerinnen</RN>","364","-810.0","-446.0","-56.0","-3.0","2","legacy","1","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Bei einer Informationsveranstaltung im Krankenhaus wird über aktuelle Impfreformen und deren Auswirkungen gesprochen. Die <RN>Krankenschwestern</RN> diskutieren über Long Covid und setzen sich für mehr Unterstützung ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","53","4","132","48.0","180.0","61.0","114.0","experiment","2","even","24289.0","-810.0","-290.0","NA","1363","1364","4145","24172","35186","24214","35186","4144","NA","35003","28980","24282","24214","35186","4144","28978","Experiment","0","0","0","1","1920","umstritten.","53","25","243"
"<AN>Frauen</AN>","C2","<RN>Studenten</RN>","undefined","undefined","True","53","4","<AN>Frauen</AN>","132","-84.0","48.0","61.0","114.0","undefined","undefined","#232323","1620","legacy","True","umstritten","legacy","legacy","undefined","undefined","undefined","0","0","0","0","0","9","0","9","0","0","9","9","9","0","9","0","50","-810.0","-270.5","5","1152.0","99.22827218086587","Fri Jul 24 10:10:53 2026","The main experiment item","False","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmerinnen</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Frauen</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","39","no","white","no","yes","1080","1","right","legacy","178.0","3.0","117","2","9","9","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-2.csv","150","legacy","an_found","Neonatal Nightingale","4.1.9","610.0","178.0","2","0","right","NA","right","right","right","6023.0","NA","20025","6023","True","53","3","<RN>Unternehmerinnen</RN>","364","-810.0","-446.0","-56.0","-3.0","2","legacy","1","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","Bei einer Podiumsdiskussion an der Universität wird über aktuelle gesellschaftliche Themen gesprochen. Die <RN>Studenten</RN> müssten wieder stärker leistungsorientiert gefördert werden, doch die Mehrheit dieser dort teilnehmenden <AN>Frauen</AN> kritisiert die neuen Anforderungen. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.","1","1024","2","48000","-16","53","4","132","48.0","180.0","61.0","114.0","experiment","2","even","24289.0","-810.0","-290.0","NA","1363","1364","4145","24172","35207","24214","35207","4144","NA","35003","28980","24282","24214","35207","4144","28978","Experiment","0","0","0","1","1920","umstritten.","53","25","243"
