"AN","Code","RN","acc","accuracy","an_found","an_height","an_line","an_text","an_width","an_x1","an_x2","an_y1","an_y2","average_response_time","avg_rt","background","box_width","canvas_backend","central_fixation","clean_word","clock_backend","color_backend","correct","correct_instruction","correct_question_sketchpad","count_ending_sketchpad","count_experiment","count_eyetracker_calibration","count_instruction","count_instruction_pygaze_log","count_list_filter","count_liste_auswahl","count_logger","count_new_inline_script","count_pygaze_start_recording","count_pygaze_stop_recording","count_question_pygaze_log","count_question_sketchpad","count_sentence_script","count_trial_loop","count_trial_sequence","cross_size","cross_x","cross_y","current_line","current_line_width","d","datetime","description","disable_garbage_collection","display_sentence","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","key","keyboard_backend","last_line_y","line_height_factor","line_spacing","list","live_row","live_row_trial_loop","logfile","margin","mouse_backend","name","opensesame_codename","opensesame_version","position_x","position_y","psychopy_screen","repeat_cycle","response","response_ending_sketchpad","response_instruction","response_key","response_question_sketchpad","response_time","response_time_ending_sketchpad","response_time_instruction","response_time_question_sketchpad","rn_found","rn_height","rn_line","rn_text","rn_width","rn_x1","rn_x2","rn_y1","rn_y2","round_decimals","sampler_backend","selected_list","sentence","sentence_text","skip_trial","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spill_height","spill_line","spill_width","spill_x1","spill_x2","spill_y1","spill_y2","start","subject_nr","subject_parity","t0","text_start_x","text_start_y","time_ending_sketchpad","time_experiment","time_eyetracker_calibration","time_instruction","time_instruction_pygaze_log","time_list_filter","time_liste_auswahl","time_logger","time_new_inline_script","time_pygaze_start_recording","time_pygaze_stop_recording","time_question_pygaze_log","time_question_sketchpad","time_sentence_script","time_trial_loop","time_trial_sequence","timestamp","title","total_correct","total_response_time","total_responses","width","word","word_height","word_spacing","word_width"
"<AN>Männer</AN>","C3","<RN>Pflegerinnen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","2","None","legacy","None","None","None","2","0","0","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Im Rahmen einer Gesprächsrunde im Gesundheitswesen wird derzeit über aktuelle gesellschaftliche Herausforderungen diskutiert. Die <RN>Pflegekräfte</RN> verdienen bessere Arbeitsbedingungen und benötigen mehr Unterstützung, doch diese <AN>Männer</AN> fühlen sich politisch nicht ausreichend unterstützt. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14621","14605","14621","10956","10956","NA","NA","NA","NA","14605","14621","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Männer</AN>","C5","<RN>Krankenpfleger*innen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","1","0","1","0","0","0","1","1","1","0","1","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","16","None","legacy","None","None","None","2","1","1","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Bei einer Informationsveranstaltung im Krankenhaus wird über aktuelle Impfreformen und deren Auswirkungen gesprochen. Die <RN>Krankenschwestern</RN> diskutieren über Long Covid und setzen sich für mehr Unterstützung ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14642","14605","14642","10956","10956","NA","NA","NA","NA","14605","14642","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C2","<RN>Ingenieure</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","2","0","2","0","0","0","2","2","2","0","2","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","3","None","legacy","None","None","None","6","2","2","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen werden derzeit aktuelle gesellschaftliche Themen erörtert. Die <RN>Ingenieur*innen</RN> spielen eine zentrale Rolle bei der Energiewende und stehen vor Herausforderungen, doch diese <AN>Frauen</AN> lehnen zusätzliche Investitionen ab. Über die Konsequenzen wird weiterhin intensiv gestritten.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14659","14605","14659","10956","10956","NA","NA","NA","NA","14605","14659","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C4","<RN>Dozentinnen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","3","0","3","0","0","0","3","3","3","0","3","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","9","None","legacy","None","None","None","2","3","3","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Auf einer schulischen Tagung werden aktuelle Kontroversen rund um Vorlesungsführung und Leistungsbewertung diskutiert. Die <RN>Dozent*innen</RN> fordern erhöhte Leistungsorientierung und strengere Notenvergabe im Lehrplan, doch diese <AN>Männer</AN> stoßen dabei auf Gegendruck von Eltern. Die Debatte über das Thema hält weiter an.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14676","14605","14676","10956","10956","NA","NA","NA","NA","14605","14676","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C4","<RN>Ingenieurinnen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","4","0","4","0","0","0","4","4","4","0","4","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","3","None","legacy","None","None","None","2","4","4","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen werden derzeit aktuelle gesellschaftliche Themen erörtert. Die <RN>Ingenieur*innen</RN> kritisieren die Energiewende und stehen vor Herausforderungen, doch diese <AN>Frauen</AN> lehnen zusätzliche Investitionen ab. Über die Konsequenzen wird weiterhin intensiv gestritten.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14694","14605","14694","10956","10956","NA","NA","NA","NA","14605","14694","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Männer</AN>","C5","<RN>Professor*innen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","5","0","5","0","0","0","5","5","5","0","5","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","15","None","legacy","None","None","None","3","5","5","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der Hochschulen und die Forschungsförderung diskutiert. Die <RN>Professorinnen</RN> diskutieren über die Zukunft der Hochschulen und setzen sich für mehr Forschungsgelder ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14711","14605","14711","10956","10956","NA","NA","NA","NA","14605","14711","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C4","<RN>Expertinnen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","6","0","6","0","0","0","6","6","6","0","6","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","7","None","legacy","None","None","None","4","6","6","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Beim Sommerfest eines Unternehmens wird über wirtschaftliche Entwicklungen und gesellschaftliche Herausforderungen diskutiert. Die <RN>Fachleute</RN> sehen große Herausforderungen im nächsten Geschäftsjahr, dennoch bleiben diese <AN>Männer</AN> optimistisch. Die unternehmerischen Folgen werden unterschiedlich bewertet.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14729","14605","14729","10956","10956","NA","NA","NA","NA","14605","14729","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Männer</AN>","C1","<RN>Polizisten</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","7","0","7","0","0","0","7","7","7","0","7","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","18","None","legacy","None","None","None","2","7","7","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Bei einer öffentlichen Sitzung im Rathaus wird über neue Verkehrsregelungen gesprochen. Die <RN>Polizistinnen</RN> diskutieren laut über mehr Sicherheit im Straßenverkehr und setzen sich für strengere Kontrollen ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Maßnahmen werden derzeit kontrovers verhandelt.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14747","14605","14747","10956","10956","NA","NA","NA","NA","14605","14747","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Männern</AN>","C3","<RN>Expertinnen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","8","0","8","0","0","0","8","8","8","0","8","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","10","None","legacy","None","None","None","6","8","8","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Im Rahmen einer universitären Veranstaltung werden aktuelle Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit dieser <RN>Fachleute</RN> sehen eine stärkere Aufrüstung für Deutschland als notwendig, doch diese Gruppe von <AN>Frauen</AN> kritisiert dessen Finanzierung. Die Auswirkungen der Entscheidung werden noch geprüft.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14764","14605","14765","10956","10956","NA","NA","NA","NA","14605","14764","None","Experiment","0","0","0","1920","None","None","None","None"
"<AN>Männer</AN>","C3","<RN>Unternehmerinnen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","9","0","9","0","0","0","9","9","9","0","9","None","None","None","None","None","None","Thu Jul 23 18:03:11 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","4","None","legacy","None","None","None","6","9","9","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-3.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","right","NA","right","None","NA","3605.0","NA","3605","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","3","odd","None","None","None","NA","2845","2846","10957","14563","14782","14605","14782","10956","10956","NA","NA","NA","NA","14605","14782","None","Experiment","0","0","0","1920","None","None","None","None"
